,title,year_publication,budget,revenue,runtime,genre_ids,original_language,popularity,id_movie,vote_average,vote_count
225,monty python's life of brian,1979,4000000,20745728.0,94.0,[35],en,17.853,583,7.755,3842.0
226,the hustler,1961,2000000,7600000.0,134.0,"[18, 10749]",en,14.135,990,7.73,819.0
227,boogie nights,1997,15000000,43101594.0,156.0,[18],en,21.618,4995,7.64,2740.0
228,toni erdmann,2016,10000000,0.0,162.0,"[35, 18]",de,8.989,374475,6.971,856.0
229,blow out,1981,18000000,12000000.0,108.0,"[80, 18, 9648, 53]",en,13.405,11644,7.34,1179.0
230,crash,1996,6500000,98410061.0,112.0,[18],en,14.067,1640,7.235,3091.0
231,the lives of others,2006,2000000,70000000.0,137.0,"[18, 53]",de,15.051,582,8.039,3201.0
232,dead ringers,1988,13000000,8038508.0,115.0,"[53, 27]",en,12.872,9540,7.1,728.0
233,reservoir dogs,1992,1200000,2859750.0,99.0,"[80, 53]",en,27.554,500,8.14,12911.0
234,strangers on a train,1951,1200000,7000000.0,101.0,"[80, 53]",en,17.131,845,7.705,1403.0
235,no country for old men,2007,25000000,171627166.0,122.0,"[80, 18, 53]",en,30.777,6977,7.9,10615.0
236,pan's labyrinth,2006,19000000,83258226.0,118.0,"[14, 18, 10752]",es,35.85,1417,7.752,9625.0
237,12 angry men,1957,350000,1000000.0,97.0,[18],en,35.143,389,8.536,7245.0
238,fight club,1999,63000000,100853753.0,139.0,"[18, 53, 35]",en,58.696,550,8.433,26372.0
239,the lady from shanghai,1948,2300000,1564609.0,87.0,"[80, 18, 9648, 53]",en,9.64,3766,7.401,544.0
240,twin peaks: fire walk with me,1992,10000000,4184990.0,135.0,"[18, 9648, 27]",en,18.276,1923,7.339,1657.0
241,hannah and her sisters,1986,6400000,40084041.0,107.0,"[35, 18]",en,9.997,5143,7.536,857.0
242,oldboy,2003,30000000,5186767.0,104.0,"[18, 53, 9648, 28]",en,18.155,87516,5.936,1763.0
243,the terminator,1984,6400000,78371200.0,108.0,"[28, 53, 878]",en,43.892,218,7.64,11450.0
244,fellini satyricon,1969,3000000,0.0,129.0,"[18, 14]",it,11.795,11163,6.781,285.0
245,memories of murder,2003,2800000,26000000.0,131.0,"[80, 18, 53]",ko,24.265,11423,8.064,3163.0
246,boyhood,2014,4000000,48137666.0,166.0,[18],en,15.591,85350,7.509,4708.0
247,the bridge on the river kwai,1957,3000000,44908000.0,161.0,"[18, 36, 10752]",en,17.182,826,7.822,1765.0
